Diagnosis	Name used in this study	ICD-10	ICD-8 equivalency	Earliest possible age at onset in years	Prevalent cases before follow-up	Persons at risk at start of follow-up	New cases during follow-up	Subgroup
"Organic, including symptomatic, mental disorders"	Organic disorders	F00 _ F09	"290.09, 290.10, 290.11, 290.18, 290.19, 292.x9, 293.x9, 294.x9, 309.x9"	35	23994	3818123	84813	"Dementia in Alzheimers disease  (F00)@Vascular dementia (F01)@Organic disorders, not otherwise specified (F02 - F09)"
Mental and behavioral disorders due to psychoactive substance abuse	Substance abuse	F10 _ F19	"291.x9, 294.39, 303.x9, 303.20, 303.28, 303.90, 304.x9"	10	66373	5319247	70673	"Mental and behavioral disorders due to alcohol use (F10)@Mental and behavioral disorders due to opioid use (F11)@Mental and behavioral disorders due to cannabis use (F12)@Mental and behavioral disorders due to sedative, hypnotic or anxiolytic use (F13)@Mental and behavioral disorders due to cocaine use (F14)@Mental and behavioral disorders due to nicotine use (F17)@Mental and behavioral disorders due to psychoactive substance use, not otherwise specified (F15, F16, F18, F19)"
Schizophrenia and related disorders	Schizophrenia and related	F20 _ F29	"295.x9, 296.89, 297.x9, 298.29-298.99, 299.04, 299.05, 299.09, 301.83"	10	45617	5340003	42015	Schizophrenia (F20)@Schizotypal disorder (F21)@Persistent delusional disorders (F22)@Acute and transient psychotic disorders (F23)@Induced delusional disorder (F24)@Schizoaffective disorders (F25)@Psychotic disorders not otherwise specified (F28 - F29)
Mood disorders	Mood disorders	F30 _ F39	"296.x9 (excluding 296.89), 298.09, 298.19, 300.49, 301.19"	10	73897	5311723	153621	"Bipolar disorders (F30 - F31)@Major depressive disorder, single episode (F32.0 - F32.5)@Depressive episodes or disorder not otherwise specified (F32.8 - F32.9)@Major depressive disorder, recurrent episode (F33)@Cyclothymia (F34.0)@Dysthymia (F34.1)@Mood disorders, not otherwise specified (F34.8, F34.9, F38, F39)"
"Neurotic, stress-related, and somatoform disorders"	Neurotic disorders	F40 _ F48	"300.x9 (excluding 300.49), 305.x9, 305.68, 307.99"	5	89348	5610596	205241	"Agoraphobia (F40.0)@Social phobia (F40.1)@Specific phobia (F40.2-F40.9)@Panic disorder (F41.0)@Generalized anxiety disorder  (F41.1)@Anxiety disorder not otherwise specified (F41.2-F41.9)@Obsessive-compulsive disorder (F42)@Acute stress reaction (F43.0)@Post-traumatic stress disorder (F43.1)@Adjustment disorder (F43.2-F43.9)@Neurotic, stress-related and somatoform disorders not otherwise specified (F44-F48)"
Eating disorders	Eating disorders	F50	"305.60, 306.50, 306.58, 306.59"	1	4962	5935816	18614	"Anorexia nervosa (F50.0, F50.1)@Bulimia nervosa (F50.2, F50.3)@Eating disorders not otherwise specified (F50.4-F50.9)@Sleep-related disorder (F51)@Sexual dysfunction disorders (F52)@Puerperal psychosis (F53)@Behavioral syndromes associated with physiological disturbances and physical factors not otherwise specified (F54-F59)"
Specific personality disorders	Personality disorders	F60æ	"301.x9 (excluding 301.19), 301.80, 301.81, 301.82, 301.84"	10	71976	5313644	56779	"Paranoid personality disorder (F60.0)@Schizoid personality disorder (F60.1)@Antisocial personality disorder (F60.2)@Borderline personality disorder (F60.3)@Histrionic personality disorder (F60.4)@Obsessive-compulsive personality disorder (F60.5)@Avoidant personality disorder (F60.6)@Dependent personality disorder (F60.7)@Narcissistic personality disorder (F60.81)@Other specific personality disorders (F60.89)@Personality disorder, unspecified (F60.9)@Mixed and other personality disorders (F61)@Enduring personality changes, not attributable to brain damage and disease (F62)@Habit and impulse disorders (F63)@Disorders of adult personality and behavior not otherwise specified (F64-F69)"
Mental retardation	Mental retardation	F70 _ F79	"311.xx, 312.xx, 313.xx, 314.xx, 315.xx"	1	5564	5935214	17579	Mild intellectual disabilities (F70)@Moderate intellectual disabilities (F71)@Severe intellectual disabilities (F72)@Profound intellectual disabilities (F73)@Other intellectual disabilities (F78)@Unspecified intellectual disabilities (F79)
Pervasive developmental disorders	Developmental disorders	F84	"299.00, 299.01, 299.02, 299.03"	1	3269	5937509	30423	Specific learning disorders (F80-F82)@Autism spectrum disorder (F84)@Pervasive developmental disorder not otherwise specified (F88-F89)
Behavioral and emotional disorders with onset usually occurring in childhood and adolescence	Behavioral disorders	F90 _ F98	"306.x9, 308.0x"	1	13800	5926978	73239	"Attention-deficit hyperactivity disorder (F90)@Conduct disorders (F91)@Separation anxiety disorder of childhood (F93.0)@Tic disorders (F95)@Childhood behavioral disorder not otherwise specified (F93 (except F93.0), F94, F98)"
