Name used in this study	New cases during follow-up	Subgroup
Organic disorders	84813	Dementia in Alzheimers disease  (F00)
Organic disorders	84814	Vascular dementia (F01)Intellectual Disabilities
Organic disorders	84815	"Organic disorders, not otherwise specified (F02 - F09)"
Substance use	70673	Mental and behavioral disorders due to alcohol use (F10)
Substance use	70674	Mental and behavioral disorders due to opioid use (F11)
Substance use	70675	Mental and behavioral disorders due to cannabis use (F12)
Substance use	70676	"Mental and behavioral disorders due to sedative, hypnotic or anxiolytic use (F13)"
Substance use	70677	Mental and behavioral disorders due to cocaine use (F14)
Substance use	70678	Mental and behavioral disorders due to nicotine use (F17)
Substance use	70679	"Mental and behavioral disorders due to psychoactive substance use, not otherwise specified (F15, F16, F18, F19)"
Schizophrenia and related	42015	Schizophrenia (F20)
Schizophrenia and related	42016	Schizotypal disorder (F21)
Schizophrenia and related	42017	Persistent delusional disorders (F22)
Schizophrenia and related	42018	Acute and transient psychotic disorders (F23)
Schizophrenia and related	42019	Induced delusional disorder (F24)
Schizophrenia and related	42020	Schizoaffective disorders (F25)
Schizophrenia and related	42021	Psychotic disorders not otherwise specified (F28 - F29)
Mood disorders	153621	Bipolar disorders (F30 - F31)
Mood disorders	153622	"Major depressive disorder, single episode (F32.0 - F32.5)"
Mood disorders	153623	Depressive episodes or disorder not otherwise specified (F32.8 - F32.9)
Mood disorders	153624	"Major depressive disorder, recurrent episode (F33)"
Mood disorders	153625	Cyclothymia (F34.0)@Dysthymia (F34.1)
Mood disorders	153626	"Mood disorders, not otherwise specified (F34.8, F34.9, F38, F39)"
Neurotic disorders	205241	Agoraphobia (F40.0)
Neurotic disorders	205242	Social phobia (F40.1)
Neurotic disorders	205243	Specific phobia (F40.2-F40.9)
Neurotic disorders	205244	Panic disorder (F41.0)
Neurotic disorders	205245	Generalized anxiety disorder  (F41.1)
Neurotic disorders	205246	Anxiety disorder not otherwise specified (F41.2-F41.9)
Neurotic disorders	205247	Obsessive-compulsive disorder (F42)
Neurotic disorders	205248	Acute stress reaction (F43.0)
Neurotic disorders	205249	Post-traumatic stress disorder (F43.1)
Neurotic disorders	205250	Adjustment disorder (F43.2-F43.9)
Neurotic disorders	205251	"Neurotic, stress-related and somatoform disorders not otherwise specified (F44-F48)"
Eating disorders	18614	"Anorexia nervosa (F50.0, F50.1)"
Eating disorders	18615	"Bulimia nervosa (F50.2, F50.3)"
Eating disorders	18616	Eating disorders not otherwise specified (F50.4-F50.9)
Personality disorders	56779	Paranoid personality disorder (F60.0)
Personality disorders	56780	Schizoid personality disorder (F60.1)
Personality disorders	56781	Antisocial personality disorder (F60.2)
Personality disorders	56782	Borderline personality disorder (F60.3)
Personality disorders	56783	Histrionic personality disorder (F60.4)
Personality disorders	56784	Obsessive-compulsive personality disorder (F60.5)
Personality disorders	56785	Avoidant personality disorder (F60.6)
Personality disorders	56786	Dependent personality disorder (F60.7)
Personality disorders	56787	Narcissistic personality disorder (F60.81)
Personality disorders	56788	Other specific personality disorders (F60.89)
Personality disorders	56789	"Personality disorder, unspecified (F60.9)"
Intellectual Disabilities	17579	Mild intellectual disabilities (F70)
Intellectual Disabilities	17580	Moderate intellectual disabilities (F71)
Intellectual Disabilities	17581	Severe intellectual disabilities (F72)
Intellectual Disabilities	17582	Profound intellectual disabilities (F73)
Intellectual Disabilities	17583	Other intellectual disabilities (F78)
Intellectual Disabilities	17584	Unspecified intellectual disabilities (F79)
Developmental disorders	30423	Autism spectrum disorder (F84)
Behavioral disorders	73239	Attention-deficit hyperactivity disorder (F90)
Behavioral disorders	73240	Conduct disorders (F91)
Behavioral disorders	73241	Separation anxiety disorder of childhood (F93.0)
Behavioral disorders	73242	Tic disorders (F95)
Behavioral disorders	73243	"Childhood behavioral disorder not otherwise specified (F93 (except F93.0), F94, F98)"
