D00	TDxORG	F00 – F09	"Organic, including symptomatic, mental disorders"	main
D01	TDxORG	F00	Dementia in Alzheimer disease	sub
D02	TDxORG	F01	Vascular dementia	sub
D10	TDxSUBS	F10 – F19	Mental and behavioral disorders due to psych. Subst. abuse	main
D11	TDxSUBS	F10	Mental and behavioral disorders due to alcohol use	sub
D12	TDxSUBS	F12	Mental and behavioral disorders due to cannabis use	sub
D20	TDxSZ	F20 – F29	Schizophrenia and related disorders	main
D21	TDxSZ	F20	Schizophrenia	sub
D22	TDxSZ	F25	Schizoaffective disorders	sub
D30	TDxMOOD	F30 – F39	Mood disorders	main
D31	TDxMOOD	F30 – F31	Bipolar disorders	sub
D32	TDxMOOD	F33	Recurrent depressive disorder	sub
D33	TDxMOOD	F32 – F33	Single and recurrent depressive disorder	sub
D41	TDxNEUR	F40 – F48	"Neurotic, stress-related, and somatoform disorders"	main
D42	TDxNEUR	F42	Obsessive-compulsive disorder	sub
D51	TDxEAT	F50	Eating disorders	main
D52	TDxEAT	F50.0	Anorexia nervosa	sub
D61	TDxPERS	F60	Specific personality disorders	main
D62	TDxPERS	F60.31	Borderline-type	sub
D70	TDxRET	F70 – F79	Mental retardation	main
D81	TDxDEV	F84	Pervasive developmental disorders	main
D82	TDxDEV	F84.0	Childhood autism	sub
D91	TDxCHILD	F90 – F98	Behavioral and emotional disorders	main
D92	TDxCHILD	F90	Hyperkinetic disorder	sub
