outcome;outcome2;exposure;exposure2;model;sex;N0;personyears0;cases0;N1;personyears1;cases1;HR;CI_left;CI_right
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_1;men;1823096;22846444.6112572;31481;24871;11465.5808906254;893;164.688448810951;154.026361865534;176.088591869975
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_2;men;1823096;22846444.6112572;31481;24177;11518.7572123662;113;21.1522292113094;17.5820024975936;25.4474312962364
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_3;men;1823096;22846444.6112572;31481;25485;23209.4836963845;161;15.1658198247628;12.9874653348755;17.7095441663694
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_4;men;1823096;22846444.6112572;31481;30827;71152.4724305713;359;11.3196788247429;10.1980142695828;12.5647136107189
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_5;men;1823096;22846444.6112572;31481;32399;114346.108069467;492;9.67214205068471;8.84473343757955;10.5769532240674
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_6;men;1823096;22846444.6112572;31481;29809;101688.470574145;407;8.58954185601084;7.78690807404889;9.47490693283597
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_7;men;1823096;22846444.6112572;31481;35503;300034.240220077;1088;4.2048419226196;3.95753619333554;4.46760174271899
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_basic_confounders;men;1823096;22846444.6112572;31481;68694;633415.113093636;3513;8.52388310065077;8.22847470956042;8.82989687373558
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_kessler_prev_interactions;men;1823096;22846444.6112572;31481;68694;633415.113093636;3513;5.89649555081006;5.6884030597518;6.11220045687829
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_kessler_prev;men;1823096;22846444.6112572;31481;68694;633415.113093636;3513;5.88736600589563;5.67975644998179;6.10256421954266
D00;Risk of Organic disorders;expo_D10;Substance abuse;time_after_expo_1;persons;3747771;47321470.9869237;78711;40248;18548.4859714352;1575;137.945420044528;131.19030479781;145.048362686469
D00;Risk of Organic disorders;expo_D10;Substance abuse;time_after_expo_2;persons;3747771;47321470.9869237;78711;39000;18614.2317164459;175;15.4721974439242;13.3378258104839;17.9481196669706
D00;Risk of Organic disorders;expo_D10;Substance abuse;time_after_expo_3;persons;3747771;47321470.9869237;78711;40962;37478.9776330564;269;11.9927595877384;10.6381742058029;13.51982772108
D00;Risk of Organic disorders;expo_D10;Substance abuse;time_after_expo_4;persons;3747771;47321470.9869237;78711;49230;114654.752653642;622;9.38484824541588;8.67067827043866;10.1578416177388
D00;Risk of Organic disorders;expo_D10;Substance abuse;time_after_expo_5;persons;3747771;47321470.9869237;78711;51402;183487.442331013;815;7.83501115855239;7.31021833103988;8.39747830704095
D00;Risk of Organic disorders;expo_D10;Substance abuse;time_after_expo_6;persons;3747771;47321470.9869237;78711;47143;161851.669848043;667;7.1164748679215;6.59222277332954;7.68241855397424
D00;Risk of Organic disorders;expo_D10;Substance abuse;time_after_expo_7;persons;3747771;47321470.9869237;78711;56838;490906.188659332;1979;3.71214879878457;3.5494924241109;3.8822589423527
D00;Risk of Organic disorders;expo_D10;Substance abuse;kessler_prev_interactions;persons;3747771;47321470.9869237;78711;108816;1025541.74881297;6102;4.63042242297453;4.50489667792056;4.75944585372429
D00;Risk of Organic disorders;expo_D10;Substance abuse;basic_confounders;persons;3747771;47321470.9869237;78711;108816;1025541.74881297;6102;7.22748919555788;7.03877539152642;7.42126253023935
D00;Risk of Organic disorders;expo_D10;Substance abuse;kessler_prev;persons;3747771;47321470.9869237;78711;108816;1025541.74881297;6102;4.646063491052;4.52027249428444;4.77535502343723
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_1;women;1924675;24475026.3756665;47230;15377;7082.9050808098;682;114.662049281429;106.301081154484;123.68063807658
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_2;women;1924675;24475026.3756665;47230;14823;7095.47450407965;62;10.4704028422304;8.16155414415706;13.4324092865416
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_3;women;1924675;24475026.3756665;47230;15477;14269.4939366719;108;9.21555944929434;7.62955337719322;11.1312591661455
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_4;women;1924675;24475026.3756665;47230;18403;43502.2802230706;263;7.67586200099598;6.79916207967231;8.66560566845227
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_5;women;1924675;24475026.3756665;47230;19003;69141.3342615467;323;6.13507620844409;5.49848061720534;6.84537469599142
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_6;women;1924675;24475026.3756665;47230;17334;60163.1992738979;260;5.66921069036035;5.01795590189006;6.40498850131191
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_time_after_expo_7;women;1924675;24475026.3756665;47230;21335;190871.948439255;891;3.26407168768676;3.05443470489173;3.48809682043471
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_basic_confounders;women;1924675;24475026.3756665;47230;40122;392126.635719331;2589;6.02793802787167;5.79300382563409;6.27239994337206
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_kessler_prev_interactions;women;1924675;24475026.3756665;47230;40122;392126.635719331;2589;3.58935851534349;3.44630836886013;3.7383464196299
D00;Risk of Organic disorders;expo_D10;Substance abuse;sex_kessler_prev;women;1924675;24475026.3756665;47230;40122;392126.635719331;2589;3.61812342303647;3.47410561595786;3.76811143685273
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_1;men;1844703;23178099.9413649;32924;7941;3509.96470616446;604;181.419440286275;167.375185749212;196.642131666402
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_2;men;1844703;23178099.9413649;32924;7394;3488.96101504604;63;20.5303914896694;16.0338752378268;26.2879041072182
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_3;men;1844703;23178099.9413649;32924;7834;7047.8849764204;83;14.5934223029323;11.7649445490396;18.101910606039
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_4;men;1844703;23178099.9413649;32924;9923;22205.8270678943;190;12.3414004414514;10.7002646759199;14.234242747193
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_5;men;1844703;23178099.9413649;32924;12317;41198.6032412607;209;9.28298635012164;8.10106786781549;10.6373427531576
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_6;men;1844703;23178099.9413649;32924;13649;46347.44267535;214;9.3386686569666;8.16211987345506;10.6848139498953
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_7;men;1844703;23178099.9413649;32924;19042;177961.099303841;707;4.56237581541956;4.23443504038994;4.91571434738752
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_basic_confounders;men;1844703;23178099.9413649;32924;30902;301759.782985976;2070;9.11095194204603;8.71368878264507;9.52632660643114
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_kessler_prev_interactions;men;1844703;23178099.9413649;32924;30902;301759.782985976;2070;5.27116763167656;5.03650767766764;5.51676081512532
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_kessler_prev;men;1844703;23178099.9413649;32924;30902;301759.782985976;2070;5.30333782164389;5.06754269074536;5.55010461023698
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;time_after_expo_1;persons;3770034;47712381.6258324;79549;16700;7280.72206835006;1485;121.878092091091;115.765550776273;128.313381935804
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;time_after_expo_2;persons;3770034;47712381.6258324;79549;15326;7213.00879556854;169;15.0311693228977;12.9249660444873;17.480591472036
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;time_after_expo_3;persons;3770034;47712381.6258324;79549;16072;14474.3097537241;212;10.189600078527;8.90433317608073;11.6603846360136
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;time_after_expo_4;persons;3770034;47712381.6258324;79549;20095;45160.4967287971;458;8.20894324837362;7.48811515786361;8.99916038073385
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;time_after_expo_5;persons;3770034;47712381.6258324;79549;24834;83373.829598024;482;6.23239195172651;5.69800778334056;6.81689301188935
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;time_after_expo_6;persons;3770034;47712381.6258324;79549;27729;95337.7850662476;476;6.700916445812;6.12277195384987;7.33365239669267
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;time_after_expo_7;persons;3770034;47712381.6258324;79549;40191;381790.957893556;1982;3.95408135538168;3.78139537434244;4.13465343271484
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;kessler_prev_interactions;persons;3770034;47712381.6258324;79549;63912;634631.109904267;5264;4.31948810058522;4.19589603493398;4.44672062790775
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;basic_confounders;persons;3770034;47712381.6258324;79549;63912;634631.109904267;5264;7.03654160374951;6.84224672951797;7.23635374440609
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;kessler_prev;persons;3770034;47712381.6258324;79549;63912;634631.109904267;5264;4.34116219877607;4.21716578591761;4.46880445132458
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_1;women;1925331;24534281.6844676;46625;8759;3770.7573621856;881;98.9951540552813;92.6043181353554;105.827036187499
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_2;women;1925331;24534281.6844676;46625;7932;3724.0477805225;106;12.9058345524173;10.6661019457731;15.6158797601195
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_3;women;1925331;24534281.6844676;46625;8238;7426.4247773037;129;8.49466398586809;7.14643599180742;10.0972451604586
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_4;women;1925331;24534281.6844676;46625;10172;22954.6696609028;268;6.60737203050738;5.85964654516972;7.45051170117407
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_5;women;1925331;24534281.6844676;46625;12517;42175.2263567633;273;4.96639587010882;4.40908229399763;5.59415458682005
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_6;women;1925331;24534281.6844676;46625;14080;48990.3423908976;262;5.44256577776366;4.8200598257909;6.14546775680811
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_time_after_expo_7;women;1925331;24534281.6844676;46625;21149;203829.858589715;1275;3.66911540884099;3.47042987581932;3.87917588457716
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_basic_confounders;women;1925331;24534281.6844676;46625;33010;332871.326918291;3194;6.11416432532096;5.8987383291355;6.33745782761416
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_kessler_prev_interactions;women;1925331;24534281.6844676;46625;33010;332871.326918291;3194;3.86647755477377;3.72747831163713;4.01066013849009
D00;Risk of Organic disorders;expo_D20;Schizophrenia and related;sex_kessler_prev;women;1925331;24534281.6844676;46625;33010;332871.326918291;3194;3.88364948315085;3.74419582287537;4.02829713548341
D00;Risk of Organic disorders;expo_D30;Mood disorders;sex_time_after_expo_1;men;1837639;22957369.9933851;30120;36018;16436.3045940005;1659;82.7945965331283;78.7999683391107;86.9917254989707
D00;Risk of Organic disorders;expo_D30;Mood disorders;sex_time_after_expo_2;men;1837639;22957369.9933851;30120;33809;16115.9303241261;230;12.3649047778308;10.8604144982616;14.0778116884301
D00;Risk of Organic disorders;expo_D30;Mood disorders;sex_time_after_expo_3;men;1837639;22957369.9933851;30120;34539;31700.6345983981;324;9.21556221396258;8.25989498514619;10.2817998379082
D00;Risk of Organic disorders;expo_D30;Mood disorders;sex_time_after_expo_4;men;1837639;22957369.9933851;30120;37788;89732.0408039526;610;6.44267289618526;5.94630569085892;6.98047429869764
