outcome;exposure;model;sex;N0;personyears0;cases0;N1;personyears1;cases1;estimate;se;HR;CI_left;CI_right;pval
D00;D10;sex-interaction crude;men;1731468;22773512.2732241;32056;64787;635670.760221575;2855;1.8871004;0.01971159;6.60020295950688;6.35007353734616;6.86018498061192;0
D00;D10;sex-interaction crude;women;1833690;24410965.7074706;47689;38333;394115.289452804;2086;1.5401527;0.02245396;4.66530260830808;4.46443982392152;4.87520255295275;0
D00;D10;sex-interaction kessler-adjusted;men;1731468;22773512.2732241;32056;64787;635670.760221575;2855;1.0330719;0.02133502;2.80968365860643;2.69461686515254;2.92966408825365;0
D00;D10;sex-interaction kessler-adjusted;women;1833690;24410965.7074706;47689;38333;394115.289452804;2086;0.58960125;0.02420867;1.80326921841664;1.71970562631449;1.89089331588562;5.13634744017145e-131
D00;D10;sex-interaction time-adjusted;men;1731468;22773512.2732241;32056;64787;635670.760221575;2855;1.8872281;0.01971176;6.60104585924281;6.35088237743986;6.86106336823576;0
D00;D10;sex-interaction time-adjusted;women;1833690;24410965.7074706;47689;38333;394115.289452804;2086;1.540121;0.02245399;4.66515472055943;4.46429804092631;4.87504829812888;0
D00;D10;sex-interaction time-comorbidity-adjusted;men;1731468;22773512.2732241;32056;64787;635670.760221575;2855;1.1381165;0.02137153;3.12088463970821;2.99285885953849;3.25438698965863;0
D00;D10;sex-interaction time-comorbidity-adjusted;women;1833690;24410965.7074706;47689;38333;394115.289452804;2086;0.61158052;0.02453977;1.84334253736641;1.75678152256321;1.93416862963514;4.29560057557654e-137
D00;D10;sex-interaction time-number_como-adjusted;men;1731468;22773512.2732241;32056;64787;635670.760221575;2855;0.92600812;0.02113303;2.52441188811436;2.42198667221849;2.63116864099665;0
D00;D10;sex-interaction time-number_como-adjusted;women;1833690;24410965.7074706;47689;38333;394115.289452804;2086;0.44117855;0.0240384;1.55453824036718;1.48299568239747;1.62953214864195;3.11949648255497e-75
D00;D11;sex-interaction crude;men;1739407;22874424.7018639;32413;54747;534758.331581706;2498;1.8573245;0.02092872;6.40657303472455;6.14909528309743;6.67483201343156;0
D00;D11;sex-interaction crude;women;1840514;24506733.3896474;48259;29135;298347.607275994;1516;1.6361677;0.02621735;5.13545116355958;4.87823092235744;5.40623416010011;0
D00;D11;sex-interaction kessler-adjusted;men;1739407;22874424.7018639;32413;54747;534758.331581706;2498;0.99227762;0.02236207;2.69737106757135;2.58170173363027;2.81822279521814;0
D00;D11;sex-interaction kessler-adjusted;women;1840514;24506733.3896474;48259;29135;298347.607275994;1516;0.67814977;0.02761971;1.97022898098936;1.86640875607092;2.07982427477579;4.00657654353804e-133
D00;D11;sex-interaction time-adjusted;men;1739407;22874424.7018639;32413;54747;534758.331581706;2498;1.8572606;0.02092886;6.40616366778704;6.1487006812899;6.67440733671645;0
D00;D11;sex-interaction time-adjusted;women;1840514;24506733.3896474;48259;29135;298347.607275994;1516;1.6360778;0.0262175;5.13498950725174;4.87779095506549;5.40574975075607;0
D00;D11;sex-interaction time-comorbidity-adjusted;men;1739407;22874424.7018639;32413;54747;534758.331581706;2498;1.0884932;0.02241254;2.96979581115997;2.84216313298945;3.103160074667;0
